"id","wave","exp_self","exp_household","exp_family","exp_relations","y"
1299502547,1,1,1,1,NA,3
1299312877,1,1,1,1,3,4
1299387871,1,1,1,1,1,3
1296408917,1,1,1,NA,NA,4
2078880504,1,2,1,1,4,2
1298797737,1,1,1,NA,NA,2
1299266125,1,1,1,1,1,3
1297956853,1,1,1,1,1,3
1298891529,1,1,1,1,1,1
1288936313,1,1,1,2,1,3
1291121929,1,NA,NA,NA,NA,2
1300465049,1,1,1,1,5,4
1299387947,1,1,1,NA,1,1
1294126989,1,2,2,NA,NA,1
1299495833,1,1,1,1,1,1
1296378427,1,1,1,1,1,2
1300665663,1,2,1,1,1,1
1300860797,1,1,1,1,1,NA
1300562937,1,1,1,1,1,3
1300802951,1,1,1,1,1,1
1296590547,1,1,1,1,4,1
1298628887,1,1,2,1,2,3
1300774461,1,1,1,1,1,4
1301006269,1,1,1,1,3,1
1299495839,1,1,1,1,1,4
1299419897,1,1,1,2,1,5
1301089739,1,1,1,1,1,2
1300924629,1,NA,NA,NA,5,2
1300593193,1,1,1,1,1,NA
1301136279,1,1,1,2,1,1
1300701113,1,1,1,1,1,3
1301041967,1,1,1,1,1,1
1300977349,1,1,1,1,1,3
1301250591,1,1,1,1,1,5
1299495845,1,1,1,1,1,3
1299537413,1,1,1,1,1,4
1299419905,1,1,1,1,1,1
1301546573,1,2,2,2,2,4
1286767441,1,1,1,1,3,1
1301766033,1,1,1,1,1,5
1301726055,1,1,1,1,1,3
1301834319,1,1,1,1,1,1
1300701125,1,1,1,1,1,5
1302043885,1,1,1,1,1,2
1302083107,1,1,1,1,1,1
1301061283,1,2,2,1,2,1
1300738765,1,1,2,1,1,5
1301658183,1,1,1,1,1,3
1301455739,1,1,1,2,4,3
1296621007,1,NA,NA,NA,NA,1
1302215803,1,NA,NA,NA,NA,1
1302250105,1,1,NA,NA,NA,NA
1298891525,1,1,1,1,1,2
1301108519,1,1,1,1,1,3
1300859823,1,3,NA,NA,4,1
1301996611,1,1,2,2,NA,1
1296537845,1,1,1,1,2,1
1302215799,1,1,1,1,1,3
1301905935,1,NA,1,1,1,5
1299465899,1,2,1,1,NA,3
1289629775,1,2,2,2,3,2
1303100267,1,NA,NA,4,NA,4
1301996619,1,1,1,1,4,1
1301726053,1,1,1,1,1,3
1301794647,1,1,1,1,1,3
1303370373,1,1,2,1,1,1
1303100251,1,1,1,1,1,NA
1303429569,1,1,1,1,3,2
1302082219,1,1,2,2,1,2
1303682081,1,1,1,1,3,4
1302175691,1,1,1,1,1,2
1303782813,1,1,1,1,1,5
1303582239,1,NA,1,3,NA,3
1289629831,1,1,1,1,1,1
1303709697,1,1,1,1,1,1
1302137117,1,1,1,1,1,2
1303472809,1,1,1,1,1,NA
1302193361,1,1,1,1,1,3
1301770173,1,1,1,1,1,2
1296537829,1,NA,NA,NA,NA,2
1291524759,1,1,1,1,NA,1
1303682083,1,1,1,1,1,1
1300593155,1,1,1,2,NA,1
1304889473,1,1,1,1,1,3
1301996615,1,1,1,1,1,5
